dependency,Days since last activity,Freshness of our version in days,Downloads Last Week
@babel/core,14,153,51148486
@babel/eslint-parser,14,191,7503413
@babel/plugin-proposal-export-default-from,14,187,3926549
@babel/plugin-proposal-object-rest-spread,194,447,17411052
@babel/plugin-proposal-throw-expressions,14,279,321245
@babel/plugin-syntax-dynamic-import,640,1521,20193540
@babel/plugin-transform-runtime,14,154,16529257
@babel/polyfill,640,1245,1959483
@babel/preset-env,14,154,25815000
@babel/preset-react,14,191,14112058
@babel/preset-typescript,14,154,16131624
@babel/runtime,14,154,54414203
@bbc/web-vitals,148,552,172
@cypress/webpack-preprocessor,78,78,1130037
@emotion/babel-plugin,235,312,8059001
@emotion/babel-preset-css-prop,312,312,221943
@emotion/cache,312,312,11438777
@emotion/jest,312,312,301183
@emotion/react,15,280,8352047
@emotion/server,312,312,571549
@emotion/styled,312,312,5843475
@loadable/babel-plugin,237,237,153650
@loadable/component,78,410,436786
@loadable/server,89,410,140400
@loadable/webpack-plugin,707,822,150677
@optimizely/react-sdk,15,364,85002
@storybook/addon-a11y,1,412,1799567
@storybook/addon-backgrounds,1,412,4622512
@storybook/addon-controls,1,412,4901529
@storybook/addon-docs,1,412,4864986
@storybook/addon-knobs,6,837,636416
@storybook/addon-toolbars,1,356,4604066
@storybook/addon-viewport,1,412,4834362
@storybook/builder-webpack5,1,412,3261527
@storybook/manager-webpack5,117,412,943878
@storybook/react,1,412,4700762
@storybook/theming,1,412,10176091
@testing-library/dom,65,178,14765428
@testing-library/jest-dom,37,153,10002470
@testing-library/react,41,391,9930764
@testing-library/react-hooks,512,634,2614972
@testing-library/user-event,75,582,9092945
@types/jest,2,147,22623575
@types/js-cookie,2,127,3221290
@types/jsdom,2,113,7671187
@types/loadable__component,2,147,247286
@types/ramda,2,613,1523907
@types/react,1,145,26981990
@types/react-dom,2,147,18443039
@types/react-helmet,2,147,996087
@types/react-lazyload,2,127,100595
@types/react-router-dom,373,785,3216023
@types/testing-library__react,706,1358,307206
@types/url-parse,2,127,355252
@typescript-eslint/eslint-plugin,1,303,28623732
@typescript-eslint/parser,1,303,31964384
amphtml-validator,639,1028,33473
aws-embedded-metrics,120,596,51918
babel-jest,16,183,25880927
babel-loader,250,250,18536809
babel-plugin-dynamic-import-node,120,1422,6608632
babel-plugin-transform-react-remove-prop-types,639,1867,4812161
chalk,34,258,308900198
chromatic,0,315,1134225
cli-table,336,828,2806613
colors,127,794,19477009
compression,19,1822,19266581
compression-webpack-plugin,15,818,1395813
copy-webpack-plugin,56,853,7694491
core-js,28,312,35179539
crypto,638,2407,896405
cypress,20,57,5563871
cypress-axe,194,194,412213
cypress-multi-reporters,140,140,745344
cypress-terminal-report,18,49,396610
depcheck,111,148,890075
dotenv,22,531,39396358
eslint,5,957,38768271
eslint-config-airbnb,120,1223,3840840
eslint-config-prettier,82,359,20852260
eslint-import-resolver-alias,635,1922,924081
eslint-plugin-cypress,177,177,2973996
eslint-plugin-import,90,422,22984788
eslint-plugin-json,248,950,519229
eslint-plugin-jsx-a11y,133,426,13402407
eslint-plugin-no-only-tests,507,507,1089585
eslint-plugin-prettier,63,622,14146276
eslint-plugin-react,9,409,18913313
eslint-plugin-react-hooks,1,638,15407314
express,0,522,30817505
express-static-gzip,635,666,90660
fetch-mock,73,1208,849691
glob,87,168,148159959
helmet,127,127,3651832
helmet-csp,634,1046,573794
history,634,1643,7791432
husky,29,435,11428082
inspectpack,71,1085,59785
intersection-observer,577,638,1683062
isarray,245,1710,99407844
isomorphic-fetch,141,1267,5436472
jalaali-js,633,665,129545
jest,16,202,23722793
jest-environment-jsdom,16,202,16167292
jest-fetch-mock,633,1464,1188987
jest-junit,333,693,4676058
jest-serializer-html,147,974,592311
jest-silent-reporter,677,1099,166727
js-cookie,206,324,8723169
jsdom,52,832,22859559
lru-cache,48,726,204073236
minimist,278,398,56744359
mkdirp,127,1440,77836752
mocha,9,733,7662012
mocha-junit-reporter,245,245,1207446
moment,63,616,21798170
moment-timezone,38,348,9575741
morgan,19,1454,4521220
node-fetch,104,258,55210878
npm-run-all,236,1936,3152704
ora,81,1009,25153647
path-to-regexp,16,677,51277948
polyfill-crypto.getrandomvalues,628,2930,17600
prettier,17,325,36907855
prop-types,202,798,24830773
ramda,160,NaN,12513573
react,0,638,24078907
react-dom,1,638,23040822
react-helmet,535,1374,1861354
react-lazyload,626,1126,222050
react-router-config,626,1629,314965
react-router-dom,2,528,10689029
react-test-renderer,1,638,5293431
retry,626,996,33094892
start-server-nestjs-webpack-plugin,665,1218,1289
storybook-addon-designs,185,639,280058
stream-browserify,491,1427,11529883
strip-ansi,290,902,167333970
stylelint,41,1047,4817621
stylelint-config-recommended,96,764,3732076
supertest,59,461,4667024
terser-webpack-plugin,76,300,28861758
timemachine,625,1245,22061
ts-jest,51,257,12148952
ts-loader,119,259,7118516
typescript,0,408,53159428
url-parse,624,750,21934656
uuid,183,1191,106050736
wait-on,120,761,3616569
webpack,23,308,27023059
webpack-bundle-analyzer,118,394,5975450
webpack-cli,280,639,7362490
webpack-dev-server,1,311,12513998
webpack-merge,149,1010,11743831
webpack-node-externals,623,1057,3612493
winston,9,NaN,12397373
xmldoc,359,359,1459671
yaml-js,245,906,162359
