dependency,Days since last activity,Freshness of our version in days,Downloads Last Week
@babel/plugin-proposal-object-rest-spread,41,144,25892097
@babel/plugin-syntax-dynamic-import,337,1217,17921852
xmldoc,55,305,1394612
uuid,4,887,86052334
url-parse,321,447,16457125
react-lazyload,323,823,215379
winston,57,NaN,10747281
polyfill-crypto.getrandomvalues,325,2627,13407
ramda,33,484,10693567
path-to-regexp,326,373,44860502
moment,3,313,20349195
moment-timezone,4,263,8394231
mkdirp,20,1137,72157230
js-cookie,21,621,6634796
jalaali-js,330,362,89833
lru-cache,22,423,131400806
isomorphic-fetch,330,964,5850090
isarray,330,1407,84811333
intersection-observer,274,335,1467983
helmet-csp,331,743,525724
helmet,8,743,2383156
express-static-gzip,331,363,74271
compression,330,1519,18137794
dotenv,19,228,32280270
aws-embedded-metrics,109,293,44144
@loadable/server,107,107,125484
@loadable/component,107,107,417400
@optimizely/react-sdk,61,61,130102
@emotion/styled,9,87,5671114
@emotion/server,9,288,517402
@emotion/react,9,87,5914211
@emotion/cache,9,200,10451230
@babel/plugin-transform-runtime,41,45,14683208
@bbc/web-vitals,193,249,232
@babel/preset-react,41,322,13404323
react-router-dom,11,225,9250653
morgan,83,1151,4267905
react-router-config,323,1325,284919
@babel/runtime,17,84,50294007
express,3,219,28040768
@emotion/jest,9,200,273761
core-js,9,77,39309090
@babel/core,13,45,46958686
@types/jsdom,54,188,5325518
@cypress/webpack-preprocessor,14,14,1470928
react-helmet,231,1071,1842145
@babel/plugin-proposal-export-default-from,41,287,5010094
@emotion/babel-plugin,9,87,5877110
@emotion/babel-preset-css-prop,9,288,231677
@loadable/babel-plugin,107,107,282415
@types/react-router-dom,70,481,3287456
react-router,11,225,9550237
@babel/preset-typescript,17,45,14406884
@babel/plugin-proposal-throw-expressions,41,322,393265
@babel/preset-env,17,192,23190801
@types/react-lazyload,70,422,93077
@testing-library/jest-dom,209,283,7628576
@types/js-cookie,70,86,2591284
@babel/polyfill,337,941,1956766
amphtml-validator,336,725,48890
@loadable/webpack-plugin,404,519,134443
@types/testing-library__react,403,1055,411141
@types/loadable__component,70,677,327510
@storybook/builder-webpack5,3,109,2759823
eslint-plugin-import,41,119,19263417
jest-serializer-html,33,671,266013
@testing-library/react,87,253,8170964
chalk,5,654,246822746
eslint-plugin-react,41,106,15669929
eslint-import-resolver-alias,331,1619,570736
eslint-plugin-json,331,647,484227
history,330,1340,8779364
chromatic,12,59,986094
@testing-library/user-event,209,279,7220096
@types/react,9,42,22130376
cli-table,33,525,2775497
eslint-config-prettier,56,56,15978838
@types/react-dom,10,89,14086099
brotli-webpack-plugin,336,1570,48244
chrome-launcher,27,348,2320962
cypress-terminal-report,42,395,343084
@types/url-parse,70,463,282106
babel-eslint,61,1174,5195191
babel-plugin-transform-react-remove-prop-types,336,1563,4952700
cypress-axe,80,496,399293
cypress-multi-reporters,63,63,645731
eslint-plugin-jsx-a11y,123,123,11580647
compression-webpack-plugin,34,515,1487432
@types/react-helmet,70,168,874768
@testing-library/dom,3,405,12360612
@testing-library/react-hooks,209,331,2808800
webpack-cli,6,336,6916806
eslint-plugin-prettier,66,319,11245745
babel-plugin-dynamic-import-node,336,1119,9746630
babel-loader,41,390,18447614
crypto,335,2103,716201
@storybook/manager-webpack5,13,109,2178016
@types/ramda,16,310,1069240
@storybook/addon-controls,3,109,4002204
stream-browserify,188,1124,12325857
cypress,5,385,5038856
eslint,9,653,32048127
eslint-config-airbnb,43,919,3685102
@storybook/addon-knobs,18,534,915228
terser-webpack-plugin,8,67,32641918
inspectpack,84,782,59558
copy-webpack-plugin,34,550,7347371
start-server-nestjs-webpack-plugin,362,915,914
ts-jest,41,740,10054387
jest-silent-reporter,374,796,109513
babel-jest,70,922,23229753
eslint-plugin-cypress,17,47,2857104
@storybook/addon-toolbars,3,53,3697309
jest,33,922,20689148
@storybook/addon-a11y,3,109,1525916
husky,33,132,9229516
glob,0,367,107297762
react,1,335,19808124
node-fetch,6,484,45390898
webpack-node-externals,320,754,3197079
prettier,20,52,29633212
storybook-addon-designs,174,336,537677
webpack-bundle-analyzer,34,91,5844016
minimist,33,94,55827485
mocha-junit-reporter,182,182,1122585
@storybook/addon-viewport,3,109,3934462
strip-ansi,33,599,133830079
stylelint-config-recommended,29,461,3121823
@storybook/theming,3,109,9869761
timemachine,322,942,18243
@storybook/addon-backgrounds,3,109,3720168
react-dom,1,335,18973893
retry,323,693,29263135
prop-types,86,495,21776347
depcheck,334,491,599802
supertest,158,158,3640691
npm-run-all,36,1633,3131330
@storybook/addon-docs,3,109,3946354
ora,0,706,17916833
wait-on,150,458,3183184
webpack,5,65,27406819
@typescript-eslint/parser,0,42,24133634
yaml-js,320,602,169197
react-test-renderer,1,335,5278254
eslint-plugin-react-hooks,1,335,12259714
jest-fetch-mock,330,1161,925976
typescript,0,104,39298173
stylelint,13,744,4084153
jest-junit,30,389,4084587
ts-loader,68,165,6176401
webpack-merge,68,707,10880229
fetch-mock,331,904,791000
@types/jest,26,677,19754897
@typescript-eslint/eslint-plugin,7,42,21804807
webpack-dev-server,8,238,13030463
jsdom,13,528,20887197
mocha,11,430,6976869
@storybook/react,3,109,3953671
