Dependency,Type,Most Recent Version,Most Recent Version Date,Our Version,Our Version Date,Our Version Freshness in Days
@loadable/component,commonjs,5.15.3,Sat Jan 28 2023 04:28:46 GMT+0000 (Greenwich Mean Time),5.15.3,Sat Jan 28 2023 04:28:46 GMT+0000 (Greenwich Mean Time),241
intersection-observer,commonjs,0.12.2,Sun Aug 14 2022 17:53:56 GMT+0100 (British Summer Time),0.12.2,Tue Jun 14 2022 18:16:18 GMT+0100 (British Summer Time),468
@emotion/server,commonjs,11.11.0,Sat May 06 2023 09:49:15 GMT+0100 (British Summer Time),11.11.0,Sat May 06 2023 09:49:15 GMT+0100 (British Summer Time),142
@emotion/styled,commonjs,11.11.0,Sat May 06 2023 09:49:16 GMT+0100 (British Summer Time),11.11.0,Sat May 06 2023 09:49:15 GMT+0100 (British Summer Time),142
@emotion/cache,commonjs,11.11.0,Sat May 06 2023 09:49:12 GMT+0100 (British Summer Time),11.11.0,Sat May 06 2023 09:49:11 GMT+0100 (British Summer Time),142
@emotion/react,commonjs,11.11.1,Wed Jun 07 2023 12:01:08 GMT+0100 (British Summer Time),11.11.1,Wed Jun 07 2023 12:01:08 GMT+0100 (British Summer Time),110
dotenv,commonjs,16.3.1,Sat Jun 17 2023 17:47:54 GMT+0100 (British Summer Time),16.0.3,Thu Sep 29 2022 18:28:10 GMT+0100 (British Summer Time),361
aws-embedded-metrics,commonjs,4.1.0,Wed Jan 25 2023 21:51:58 GMT+0000 (Greenwich Mean Time),2.0.6,Tue Jul 26 2022 19:45:09 GMT+0100 (British Summer Time),426
helmet-csp,module,3.4.0,Sat Jun 18 2022 21:06:39 GMT+0100 (British Summer Time),3.4.0,Sun May 02 2021 16:39:56 GMT+0100 (British Summer Time),876
isarray,commonjs,2.0.5,Wed Jul 12 2023 20:07:21 GMT+0100 (British Summer Time),2.0.5,Mon Jul 08 2019 14:21:22 GMT+0100 (British Summer Time),1540
core-js,commonjs,3.32.2,Thu Sep 07 2023 13:48:31 GMT+0100 (British Summer Time),3.30.2,Sat May 06 2023 20:16:59 GMT+0100 (British Summer Time),142
helmet,module,7.0.0,Sat May 06 2023 23:37:55 GMT+0100 (British Summer Time),4.6.0,Sun May 02 2021 16:13:09 GMT+0100 (British Summer Time),876
moment-timezone,commonjs,0.5.43,Thu May 11 2023 15:15:15 GMT+0100 (British Summer Time),0.5.43,Fri Mar 31 2023 11:12:53 GMT+0100 (British Summer Time),178
express,commonjs,5.0.0-beta.1,Sat Sep 23 2023 17:51:00 GMT+0100 (British Summer Time),4.18.2,Sat Oct 08 2022 21:14:32 GMT+0100 (British Summer Time),352
compression,commonjs,1.7.4,Wed Jul 12 2023 20:06:30 GMT+0100 (British Summer Time),1.7.4,Mon Mar 18 2019 14:43:24 GMT+0000 (Greenwich Mean Time),1652
@loadable/server,commonjs,5.16.1,Thu Jul 20 2023 08:51:59 GMT+0100 (British Summer Time),5.15.3,Sat Jan 28 2023 04:28:46 GMT+0000 (Greenwich Mean Time),241
isomorphic-fetch,commonjs,3.0.0,Sun Jun 19 2022 04:03:37 GMT+0100 (British Summer Time),3.0.0,Wed Sep 23 2020 08:27:09 GMT+0100 (British Summer Time),1097
@bbc/web-vitals,commonjs,1.2.1,Thu Nov 03 2022 12:47:19 GMT+0000 (Greenwich Mean Time),1.2.0,Thu Sep 08 2022 09:43:08 GMT+0100 (British Summer Time),382
@optimizely/react-sdk,commonjs,2.9.2,Wed Mar 15 2023 19:08:09 GMT+0000 (Greenwich Mean Time),2.9.2,Wed Mar 15 2023 19:08:09 GMT+0000 (Greenwich Mean Time),194
express-static-gzip,commonjs,2.1.7,Fri Jun 17 2022 23:40:56 GMT+0100 (British Summer Time),2.1.7,Tue May 17 2022 07:27:03 GMT+0100 (British Summer Time),496
morgan,commonjs,1.10.0,Tue Feb 21 2023 02:19:48 GMT+0000 (Greenwich Mean Time),1.10.0,Fri Mar 20 2020 18:00:13 GMT+0000 (Greenwich Mean Time),1284
moment,commonjs,2.29.4,Sun Aug 27 2023 12:38:44 GMT+0100 (British Summer Time),2.29.4,Wed Jul 06 2022 17:01:32 GMT+0100 (British Summer Time),446
js-cookie,commonjs,3.0.5,Sun Aug 20 2023 10:44:13 GMT+0100 (British Summer Time),3.0.5,Mon Apr 24 2023 10:23:51 GMT+0100 (British Summer Time),154
lru-cache,commonjs,10.0.1,Thu Aug 10 2023 22:32:00 GMT+0100 (British Summer Time),7.7.1,Fri Mar 18 2022 03:00:08 GMT+0000 (Greenwich Mean Time),557
path-to-regexp,commonjs,6.2.1,Sun Aug 20 2023 10:45:39 GMT+0100 (British Summer Time),6.2.1,Fri May 06 2022 23:00:27 GMT+0100 (British Summer Time),507
mkdirp,commonjs,3.0.1,Tue May 16 2023 19:48:04 GMT+0100 (British Summer Time),1.0.4,Fri Apr 03 2020 18:03:08 GMT+0100 (British Summer Time),1270
react,commonjs,18.3.0-next-fecc288b7-20221025,Mon Sep 25 2023 17:17:27 GMT+0100 (British Summer Time),18.2.0,Tue Jun 14 2022 20:46:38 GMT+0100 (British Summer Time),468
jalaali-js,commonjs,1.2.6,Sun Jun 19 2022 04:39:17 GMT+0100 (British Summer Time),1.2.6,Wed May 18 2022 07:40:33 GMT+0100 (British Summer Time),495
ramda,commonjs,0.29.0,Fri Jun 02 2023 15:35:08 GMT+0100 (British Summer Time),Unkonwn,Invalid Date,NaN
react-dom,commonjs,18.3.0-next-fecc288b7-20221025,Mon Sep 25 2023 17:17:55 GMT+0100 (British Summer Time),18.2.0,Tue Jun 14 2022 20:46:48 GMT+0100 (British Summer Time),468
