service, type, link, generated, timeSinceGenerated, lastRecordTimeStamp, firstRecordTimeStamp, Collection Time Window in Minutes, totalRecords, rank1, rank2, rank3, rank4, rank5, rank6, rank7, rank8, rank9, rank10
afaanoromoo,read,https://onward-journeys.api.bbci.co.uk/api/most/read/afaanoromoo,2024-05-02T09:37:17.553Z,9,2024-05-02T09:34:00Z,2024-05-02T07:34:00Z,120,20,335,188,156,142,110,95,90,82,59,46
afaanoromoo,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/afaanoromoo,2024-05-02T09:37:50.141Z,9,2024-05-02T09:37:00Z,2024-05-01T09:35:00Z,1442,20,303,266,147,142,111,51,26,25,24,23
afrique,read,https://onward-journeys.api.bbci.co.uk/api/most/read/afrique,2024-05-02T09:33:21.043Z,13,2024-05-02T09:30:00Z,2024-05-02T08:30:00Z,60,20,288,224,95,71,67,37,31,29,23,19
afrique,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/afrique,2024-05-02T09:34:26.208Z,12,2024-05-02T09:34:00Z,2024-04-30T17:32:00Z,2402,20,343,195,191,168,153,152,110,82,73,66
amharic,read,https://onward-journeys.api.bbci.co.uk/api/most/read/amharic,2024-05-02T09:34:21.564Z,12,2024-05-02T09:32:00Z,2024-05-02T07:32:00Z,120,20,731,537,471,251,126,122,121,117,111,93
amharic,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/amharic,2024-05-02T09:34:47.733Z,12,2024-05-02T09:34:00Z,2024-04-30T17:32:00Z,2402,20,1678,27,22,11,9,7,6,6,4,4
arabic,read,https://onward-journeys.api.bbci.co.uk/api/most/read/arabic,2024-05-02T09:34:23.831Z,12,2024-05-02T09:32:00Z,2024-05-02T09:17:00Z,15,20,334,237,224,87,84,79,69,68,50,36
arabic,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/arabic,2024-05-02T09:34:50.444Z,12,2024-05-02T09:32:00Z,2024-05-02T07:32:00Z,120,20,1203,998,598,488,348,321,229,217,198,167
azeri,read,https://onward-journeys.api.bbci.co.uk/api/most/read/azeri,2024-05-02T09:35:25.484Z,11,2024-05-02T09:33:00Z,2024-05-02T07:33:00Z,120,20,111,52,32,29,18,16,16,14,14,13
azeri,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/azeri,2024-05-02T09:36:13.929Z,10,2024-05-02T09:36:00Z,2024-04-29T01:33:00Z,4803,20,77,30,24,19,18,17,17,13,11,9
bengali,read,https://onward-journeys.api.bbci.co.uk/api/most/read/bengali,2024-05-02T09:36:22.022Z,10,2024-05-02T09:33:00Z,2024-05-02T09:03:00Z,30,20,693,206,136,135,129,93,79,71,69,65
bengali,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/bengali,2024-05-02T09:36:49.825Z,10,2024-05-02T09:34:00Z,2024-05-02T07:34:00Z,120,20,94,36,25,24,20,18,16,14,11,10
burmese,read,https://onward-journeys.api.bbci.co.uk/api/most/read/burmese,2024-05-02T09:37:22.764Z,9,2024-05-02T09:34:00Z,2024-05-02T07:34:00Z,120,20,767,504,291,232,177,166,93,78,56,55
